City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Gayeri,BF,12.6497,0.4931,102.61,16,100,2.08,overcast clouds
236,Koumac,NC,-20.5667,164.2833,79.45,86,100,4.34,overcast clouds
237,Ambo,PE,-10.1308,-76.2047,72.81,58,87,5.01,overcast clouds
238,Saint George,US,37.1041,-113.5841,68.79,25,100,5.01,overcast clouds
239,Sosnovo-Ozerskoye,RU,52.5249,111.5418,17.58,70,100,5.84,overcast clouds
240,Semenyih,MY,2.9516,101.843,78.55,92,100,1.83,overcast clouds
241,Labuhan,ID,-6.8844,112.2051,78.96,85,100,9.13,overcast clouds
242,Sur,OM,22.5667,59.5289,82.76,51,3,6.78,clear sky
243,Callaway,US,30.153,-85.5699,77.92,44,0,8.99,clear sky
244,Hilo,US,19.7297,-155.09,73.13,85,75,0.0,broken clouds
245,Kyra,RU,49.5776,111.9753,29.41,71,81,2.1,broken clouds
246,Beloha,MG,-25.1667,45.05,73.11,84,0,11.05,clear sky
247,Santa Isabel,BR,-23.3156,-46.2214,80.31,67,79,6.29,broken clouds
248,Padang,ID,-0.9492,100.3543,77.95,83,39,2.21,scattered clouds
249,Cairns,AU,-16.9167,145.7667,76.06,96,94,0.0,overcast clouds
250,Cedro,BR,-6.6067,-39.0622,93.04,37,12,4.63,few clouds
251,Xihe,CN,31.6864,113.4659,54.75,64,95,5.28,overcast clouds
252,Lovington,US,32.944,-103.3485,80.04,15,40,4.0,scattered clouds
253,Souillac,MU,-20.5167,57.5167,79.18,78,75,10.36,broken clouds
254,Sorland,NO,67.667,12.6934,30.06,66,91,20.4,light snow
255,Kushmurun,KZ,52.4503,64.6311,36.64,99,100,15.41,overcast clouds
256,Kashirskoye,RU,51.4194,39.6125,39.31,77,100,5.7,overcast clouds
257,Arys,KZ,42.4252,68.795,62.46,40,100,6.06,overcast clouds
258,Ozernovskiy,RU,51.5,156.5167,31.03,89,99,7.76,overcast clouds
259,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,23,0,23.02,clear sky
260,Aklavik,CA,68.2191,-135.0107,-11.11,94,100,6.46,overcast clouds
261,Kita,ML,13.0349,-9.4895,104.41,12,41,0.78,scattered clouds
262,Mnogovershinnyy,RU,53.9353,139.9242,28.94,94,100,7.31,overcast clouds
263,Sao Filipe,CV,14.8961,-24.4956,71.56,75,26,12.35,scattered clouds
264,Hermanus,ZA,-34.4187,19.2345,66.79,75,19,13.35,few clouds
265,Bundaberg,AU,-24.85,152.35,67.21,97,5,1.99,clear sky
266,Pitimbu,BR,-7.4706,-34.8086,82.44,73,18,14.09,few clouds
267,Kiruna,SE,67.8557,20.2251,18.52,73,40,9.22,scattered clouds
268,Lompoc,US,34.6391,-120.4579,61.12,89,100,5.75,overcast clouds
269,Itarema,BR,-2.9248,-39.9167,82.94,76,54,11.65,broken clouds
270,Muzhi,RU,65.3667,64.6667,20.59,89,100,14.16,overcast clouds
271,Atar,MR,20.5169,-13.0499,89.55,8,0,19.66,clear sky
272,Elko,US,41.0002,-115.5012,45.64,35,8,0.65,clear sky
273,Pacific Grove,US,36.6177,-121.9166,55.51,89,40,3.44,scattered clouds
274,Centenario Do Sul,BR,-22.8211,-51.5953,81.93,60,8,8.5,clear sky
